# Data obtained from NIST Physical Measurement Lab: Atomic Weights and Isotopic Compositions
# Source URL: https://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl?ele=&ascii=ascii2&isotype=some
# Last accessed: 18/02/2022
Atomic Number,Atomic Symbol,Mass Number,Relative Atomic Mass,Isotopic Composition,Standard Atomic Weight,alias
1,H,1.0,1.00782503223,0.999885,"[1.00784,1.00811]",H
1,D,2.0,2.01410177812,0.000115,"[1.00784,1.00811]",H
1,T,3.0,3.0160492779,,"[1.00784,1.00811]",H
2,He,3.0,3.0160293201,1.34e-06,4.002602(2),He
2,He,4.0,4.00260325413,0.99999866,4.002602(2),He
3,Li,6.0,6.0151228874,0.0759,"[6.938,6.997]",Li
3,Li,7.0,7.0160034366,0.9241,"[6.938,6.997]",Li
4,Be,9.0,9.012183065,1.0,9.0121831(5),Be
5,B,10.0,10.01293695,0.199,"[10.806,10.821]",B
5,B,11.0,11.00930536,0.801,"[10.806,10.821]",B
6,C,12.0,12.0,0.9893,"[12.0096,12.0116]",C
6,C,13.0,13.00335483507,0.0107,"[12.0096,12.0116]",C
6,C,14.0,14.0032419884,,"[12.0096,12.0116]",C
7,N,14.0,14.00307400443,0.99636,"[14.00643,14.00728]",N
7,N,15.0,15.00010889888,0.00364,"[14.00643,14.00728]",N
8,O,16.0,15.99491461957,0.99757,"[15.99903,15.99977]",O
8,O,17.0,16.9991317565,0.00038,"[15.99903,15.99977]",O
8,O,18.0,17.99915961286,0.00205,"[15.99903,15.99977]",O
9,F,19.0,18.99840316273,1.0,18.998403163(6),F
10,Ne,20.0,19.9924401762,0.9048,20.1797(6),Ne
10,Ne,21.0,20.993846685,0.0027,20.1797(6),Ne
10,Ne,22.0,21.991385114,0.0925,20.1797(6),Ne
11,Na,23.0,22.989769282,1.0,22.98976928(2),Na
12,Mg,24.0,23.985041697,0.7899,"[24.304,24.307]",Mg
12,Mg,25.0,24.985836976,0.1,"[24.304,24.307]",Mg
12,Mg,26.0,25.982592968,0.1101,"[24.304,24.307]",Mg
